Order_ID,Order_Created_At,Order_Updated_At,Order_Referring_Site,Order_Total_Discount,Order_Total_Price,Product_ID,Product_Quantity,Variant_ID,Currency,Product_Variant_Price,Customer_ID
63792405905757,2024-12-24T09:28:06Z,2024-12-24T09:28:06Z,,0.0,48.99,10000438165853,1,54392543576413,EUR,48.99,22500893786461
63765527658845,2024-12-22T17:24:32Z,2024-12-22T17:24:32Z,,0.0,54.98,10000238510429,1,54391298195805,EUR,52.99,22496249348445
63765527658845,2024-12-22T17:24:32Z,2024-12-22T17:24:32Z,,0.0,54.98,8384884408669,1,46567711572317,EUR,0.00,22496249348445
63765527658845,2024-12-22T17:24:32Z,2024-12-22T17:24:32Z,,0.0,54.98,8406106866013,1,46719424037213,EUR,1.99,22496249348445
63753015263581,2024-12-21T08:11:37Z,2024-12-21T18:17:08Z,http://instagram.com/,0.0,25.99,14767591260509,1,54881216856413,EUR,20.99,4467437600934
63714226569565,2024-12-19T14:17:36Z,2024-12-20T00:23:07Z,,0.0,97.98,10000438165853,2,54392543576413,EUR,48.99,22482264228189
63668466254173,2024-12-17T15:41:05Z,2024-12-18T01:47:07Z,https://www.google.com/,0.0,34.99,9992542617949,1,54352821354845,EUR,34.99,6685667000486
63665388257629,2024-12-17T12:11:36Z,2024-12-17T12:11:36Z,,0.0,47.98,5846610935974,1,41676167807142,EUR,23.99,22481916330333
63643794997597,2024-12-16T10:57:30Z,2024-12-16T10:57:30Z,,0.0,48.99,10000438165853,1,54392543576413,EUR,48.99,22472369406301
63611349139805,2024-12-14T19:50:08Z,2024-12-15T05:56:08Z,,0.0,25.99,9994002334045,1,54359657840989,EUR,20.99,22468202692957
63584250560861,2024-12-13T12:45:07Z,2024-12-13T20:16:01Z,,0.0,30.99,9982934909277,1,54300492759389,EUR,30.99,22465032225117
63584250560861,2024-12-13T12:45:07Z,2024-12-13T20:16:01Z,,0.0,30.99,8384884408669,1,46567711572317,EUR,0.00,22465032225117
63562404790621,2024-12-12T13:48:05Z,2024-12-12T13:48:05Z,,0.0,58.98,9977715097949,1,54278463652189,EUR,26.99,22462119477597
63554158788957,2024-12-12T05:07:32Z,2024-12-12T05:07:32Z,,0.0,31.99,9977715097949,1,54278463652189,EUR,26.99,22461038297437
63471341535581,2024-12-08T21:44:34Z,2024-12-08T21:44:34Z,,0.0,25.99,14767591260509,1,54881216856413,EUR,20.99,22449673371997
63471341535581,2024-12-08T21:44:34Z,2024-12-08T21:44:34Z,,0.0,25.99,8384884441437,1,46567711605085,EUR,0.00,22449673371997
63435916083549,2024-12-07T15:43:36Z,2024-12-08T01:49:07Z,https://www.google.com/,0.0,29.99,5948173844646,1,37072062513318,EUR,29.99,22444666224989
63409184080221,2024-12-06T16:25:01Z,2024-12-09T20:21:04Z,,0.0,74.98,9994070786397,1,54359995318621,EUR,24.99,22443147329885
63409184080221,2024-12-06T16:25:01Z,2024-12-09T20:21:04Z,,0.0,74.98,10000287826269,1,54391576691037,EUR,49.99,22443147329885
63384555618653,2024-12-05T19:59:35Z,2024-12-05T19:59:35Z,,0.0,45.98,9994002334045,1,54359657840989,EUR,20.99,22440823980381
63384555618653,2024-12-05T19:59:35Z,2024-12-05T19:59:35Z,,0.0,45.98,14767151710557,1,54879141167453,EUR,24.99,22440823980381
63369681535325,2024-12-05T08:43:07Z,2024-12-05T08:43:07Z,,0.0,32.99,7365878546598,1,42648895946918,EUR,27.99,22439239975261
63322514719069,2024-12-03T08:25:34Z,2024-12-03T08:25:34Z,,0.0,99.98,10000287826269,1,54391576691037,EUR,49.99,22433086308701
63297156645213,2024-12-02T05:59:31Z,2024-12-02T16:08:26Z,https://lm.facebook.com/,0.0,20.99,9994002334045,1,54359657840989,EUR,20.99,6672485056678
63248096428381,2024-11-30T07:46:08Z,2024-11-30T07:46:08Z,https://www.google.com/,0.0,66.99,9994567287133,1,54362539884893,EUR,66.99,22410150936925
63248096428381,2024-11-30T07:46:08Z,2024-11-30T07:46:08Z,https://www.google.com/,0.0,66.99,8384884408669,1,46567711572317,EUR,0.00,22410150936925
63225525666141,2024-11-29T13:40:03Z,2024-11-29T13:40:03Z,,0.0,25.99,9994002334045,1,54359657840989,EUR,20.99,22401858306397
63201408352605,2024-11-28T14:55:08Z,2024-11-29T01:01:10Z,https://lm.facebook.com/,0.0,25.99,9994002334045,1,54359657840989,EUR,20.99,6312180220070
63164240658781,2024-11-26T21:29:32Z,2024-11-26T21:29:32Z,,0.0,49.99,14753422180701,1,54881136279901,EUR,49.99,22389881962845
63107065217373,2024-11-23T08:01:36Z,2024-11-23T08:01:36Z,,0.0,49.99,9994601890141,1,54362695926109,EUR,49.99,22371987882333
63107065217373,2024-11-23T08:01:36Z,2024-11-23T08:01:36Z,,0.0,49.99,8384884408669,1,46567711572317,EUR,0.00,22371987882333
63092179403101,2024-11-20T18:12:02Z,2024-11-21T04:18:09Z,https://dyori.com/collections/black-friday,0.0,25.99,9983014863197,1,54300745367901,EUR,20.99,4430489551014
63086615527773,2024-11-19T12:39:33Z,2024-11-19T12:39:33Z,,0.0,25.99,9983014863197,1,54300745367901,EUR,20.99,22361750569309
63086615527773,2024-11-19T12:39:33Z,2024-11-19T12:39:33Z,,0.0,25.99,8384884441437,1,46567711605085,EUR,0.00,22361750569309
63086615527773,2024-11-19T12:39:33Z,2024-11-19T12:39:33Z,,0.0,25.99,8384884408669,1,46567711572317,EUR,0.00,22361750569309
63066511606109,2024-11-14T11:46:31Z,2024-11-14T11:46:31Z,https://dyori.com/cart,0.0,39.99,8384884408669,1,46567711572317,EUR,0.00,22344065810781
63066511606109,2024-11-14T11:46:31Z,2024-11-14T11:46:31Z,https://dyori.com/cart,0.0,39.99,9994456596829,1,54362039779677,EUR,39.99,22344065810781
63063580115293,2024-11-13T16:28:36Z,2024-11-14T02:34:10Z,,0.0,30.99,5948241150118,1,37072305094822,EUR,25.99,4232544616614
63057190814045,2024-11-12T06:17:31Z,2024-11-12T06:17:31Z,http://m.facebook.com/,0.0,34.99,9992542617949,1,54352821354845,EUR,34.99,22338588672349
63041297940829,2024-11-08T09:36:32Z,2024-11-08T09:36:32Z,,0.0,75.99,9801405858141,1,53431574692189,EUR,41.99,22328903729501
42120107458909,2023-07-10T12:12:00Z,2023-07-13T04:07:15Z,,0.0,34.99,8412921233757,1,46766970896733,EUR,34.99,7159976460637
27032287314086,2022-12-22T22:37:02Z,2022-12-23T09:18:03Z,,0.0,33.55,7596172443814,1,43681047707814,EUR,33.55,4232529543334
26914353578150,2022-12-17T19:41:52Z,2022-12-18T07:44:45Z,https://dyori.com/,0.0,154.44,7601353457830,1,43701336637606,EUR,39.99,6692536254630
26914353578150,2022-12-17T19:41:52Z,2022-12-18T07:44:45Z,https://dyori.com/,0.0,154.44,7597106593958,2,43685441208486,EUR,37.99,6692536254630
26914353578150,2022-12-17T19:41:52Z,2022-12-18T07:44:45Z,https://dyori.com/,0.0,154.44,7596193710246,1,43681134805158,EUR,38.47,6692536254630
26874539081894,2022-12-15T21:26:03Z,2022-12-16T22:32:19Z,https://www.vivapayments.com/,0.0,24.99,7365877465254,1,42648888115366,EUR,24.99,6660143579302
26801404280998,2022-12-12T17:58:36Z,2022-12-13T15:03:18Z,https://l.facebook.com/,0.0,69.74,7594095739046,1,43837830758566,EUR,35.75,5998732083366
26801404280998,2022-12-12T17:58:36Z,2022-12-13T15:03:18Z,https://l.facebook.com/,0.0,69.74,7596175130790,1,43681053999270,EUR,33.99,5998732083366
26691497394342,2022-12-08T10:13:25Z,2022-12-09T15:01:35Z,,0.0,135.87,7597088899238,1,43685380817062,EUR,29.99,6679358668966
26691497394342,2022-12-08T10:13:25Z,2022-12-09T15:01:35Z,,0.0,135.87,7594095739046,1,43837830758566,EUR,35.75,6679358668966
26691497394342,2022-12-08T10:13:25Z,2022-12-09T15:01:35Z,,0.0,135.87,7594522149030,1,43676941418662,EUR,37.99,6679358668966
26691497394342,2022-12-08T10:13:25Z,2022-12-09T15:01:35Z,,0.0,135.87,7596169167014,1,43681035649190,EUR,32.14,6679358668966
26671108817062,2022-12-07T17:10:14Z,2022-12-08T07:17:19Z,https://dyori.com/collections/scarves-1,0.0,21.99,5846649634982,1,43676834463910,EUR,21.99,4437468446886
26628167106726,2022-12-06T00:51:50Z,2022-12-06T14:42:27Z,https://dyori.com/pages/corporate-gifting,0.0,119.95,6793167208614,1,40156582379686,EUR,23.99,6676215333030
26628167106726,2022-12-06T00:51:50Z,2022-12-06T14:42:27Z,https://dyori.com/pages/corporate-gifting,0.0,119.95,5846610935974,1,41676167807142,EUR,23.99,6676215333030
26628167106726,2022-12-06T00:51:50Z,2022-12-06T14:42:27Z,https://dyori.com/pages/corporate-gifting,0.0,119.95,5846592389286,1,39719537148070,EUR,23.99,6676215333030
26628167106726,2022-12-06T00:51:50Z,2022-12-06T14:42:27Z,https://dyori.com/pages/corporate-gifting,0.0,119.95,5846610935974,2,41676167807142,EUR,23.99,6676215333030
26475912364198,2022-11-30T10:56:16Z,2022-12-01T10:48:28Z,https://dyori.com/cart,0.0,147.94,5846649634982,1,43676834463910,EUR,21.99,6667235721382
26475912364198,2022-11-30T10:56:16Z,2022-12-01T10:48:28Z,https://dyori.com/cart,0.0,147.94,7163741175974,6,41780454981798,EUR,0.00,6667235721382
26475912364198,2022-11-30T10:56:16Z,2022-12-01T10:48:28Z,https://dyori.com/cart,0.0,147.94,7594506911910,1,43676824240294,EUR,21.99,6667235721382
26475912364198,2022-11-30T10:56:16Z,2022-12-01T10:48:28Z,https://dyori.com/cart,0.0,147.94,5846592389286,1,39719537148070,EUR,23.99,6667235721382
26475912364198,2022-11-30T10:56:16Z,2022-12-01T10:48:28Z,https://dyori.com/cart,0.0,147.94,5948253274278,1,37403193671846,EUR,29.99,6667235721382
26475912364198,2022-11-30T10:56:16Z,2022-12-01T10:48:28Z,https://dyori.com/cart,0.0,147.94,7594445111462,1,43690825187494,EUR,29.99,6667235721382
26459689877670,2022-11-29T20:52:59Z,2022-11-30T07:59:13Z,https://dyori.com/cart,0.0,139.98,7594535223462,1,43676977266854,EUR,69.99,6666506928294
26394169278630,2022-11-25T16:40:07Z,2022-11-30T18:50:34Z,,0.0,192.97,7594529325222,1,43676961702054,EUR,74.99,6657977647270
26394169278630,2022-11-25T16:40:07Z,2022-11-30T18:50:34Z,,0.0,192.97,7596193710246,1,43681134805158,EUR,38.47,6657977647270
26222323040422,2022-11-18T12:05:44Z,2022-11-20T09:31:23Z,https://dyori.com/,0.0,33.99,7594095739046,1,43837830758566,EUR,35.75,6646868181158
26212218929318,2022-11-17T11:22:58Z,2022-11-21T15:19:10Z,https://dyori.com/cart,0.0,140.13,7594514055334,1,43676851241126,EUR,49.99,6643434225830
